Class,Subdivision,Order,Family,Genus,Species,Subpop.,spp,Total,Infected,Pool Size,Bacterium,Paper
arachnida,Acari,astigmata,Acaridae,Rhizoglyphus,robini,NA,Rhizoglyphusrobini,1,0,1,Cardinium,ZchoriFein04
arachnida,Acari,astigmata,Acaridae,Rhizoglyphus,robini,NA,Rhizoglyphusrobini,1,0,1,Wolbachia,ZchoriFein04
arachnida,Acari,astigmata,Acaridae,Tyrophagus,putrescentiae,NA,Tyrophagusputrescentiae,1,0,1,Cardinium,ZchoriFein04
arachnida,Acari,astigmata,Acaridae,Tyrophagus,putrescentiae,NA,Tyrophagusputrescentiae,1,0,1,Wolbachia,ZchoriFein04
arachnida,Acari,astigmata,Unid.,Unid.,sp.,NA,Unid.sp.,1,1,1,Cardinium,Jeong09
arachnida,Acari,astigmata,Unid.,Unid.,sp.,NA,Unid.sp.,1,0,1,Wolbachia,Jeong09
arachnida,Acari,holothyrida,Unid.,Unid.,sp.,NA,Unid.sp.,1,0,1,Rickettsia,Weinert09
arachnida,Acari,ixodida,Argasidae,Argas,dewae,NA,Argasdewae,10,7,1,Rickettsia,Izzard10
arachnida,Acari,ixodida,Argasidae,Argas,persicus,NA,Argaspersicus,29,0,1,Rickettsia,Loftis06
arachnida,Acari,ixodida,Argasidae,Argas,vespertilionis,NA,Argasvespertilionis,5,3,1,Rickettsia,Socolovschi12a
arachnida,Acari,ixodida,Argasidae,Carios,capensis,Calonectris_leucomelas,Carioscapensis,25,0,1,Rickettsia,Kawabata06
arachnida,Acari,ixodida,Argasidae,Carios,capensis,Diomedea_nigripes,Carioscapensis,24,7,1,Rickettsia,Kawabata06
arachnida,Acari,ixodida,Argasidae,Carios,capensis,Pelecanus_occidentalis,Carioscapensis,64,17,1,Rickettsia,Reeves06b
arachnida,Acari,ixodida,Argasidae,Carios,kelleyi,NA,Carioskelleyi,31,28,1,Rickettsia,Loftis05
arachnida,Acari,ixodida,Argasidae,Carios,sawaii,Calonectris_leucomelas,Cariossawaii,9,2,1,Rickettsia,Kawabata06
arachnida,Acari,ixodida,Ixodidae,Amblyomma,americanum,NA,Amblyommaamericanum,183,128,1,Rickettsia,Jiang10
arachnida,Acari,ixodida,Ixodidae,Amblyomma,americanum,NA,Amblyommaamericanum,184,116,1,Rickettsia,Jiang10
arachnida,Acari,ixodida,Ixodidae,Amblyomma,americanum,NA,Amblyommaamericanum,21,9,1,Rickettsia,Kelly05b
arachnida,Acari,ixodida,Ixodidae,Amblyomma,americanum,NA,Amblyommaamericanum,475,198,1,Rickettsia,Mixson06
arachnida,Acari,ixodida,Ixodidae,Amblyomma,americanum,NA,Amblyommaamericanum,391,216,1,Rickettsia,Mixson06
arachnida,Acari,ixodida,Ixodidae,Amblyomma,americanum,NA,Amblyommaamericanum,704,315,1,Rickettsia,Mixson06
arachnida,Acari,ixodida,Ixodidae,Amblyomma,americanum,NA,Amblyommaamericanum,151,56,1,Rickettsia,Mixson06
arachnida,Acari,ixodida,Ixodidae,Amblyomma,americanum,NA,Amblyommaamericanum,38,18,1,Rickettsia,Mixson06
arachnida,Acari,ixodida,Ixodidae,Amblyomma,americanum,NA,Amblyommaamericanum,121,8,1,Rickettsia,Mixson06
arachnida,Acari,ixodida,Ixodidae,Amblyomma,americanum,NA,Amblyommaamericanum,60,6,1,Rickettsia,Mixson06
arachnida,Acari,ixodida,Ixodidae,Amblyomma,americanum,NA,Amblyommaamericanum,19,11,1,Rickettsia,Mixson06
arachnida,Acari,ixodida,Ixodidae,Amblyomma,americanum,NA,Amblyommaamericanum,29,3,1,Rickettsia,Mixson06
