"","Class","Subdivision","Order","Family","Genus","Species","spp","Subpop.","Total","Infected","Pool.Size","Bacterium","Paper","AT","id","ATcode"
"1","Insecta","","Coleoptera","Hydrophilidae","Berosus","sp.","Berosussp.",NA,21,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Berosussp.210Wiwatanaratanabutr16",1
"2","Insecta","","Coleoptera","Hydrophilidae","Hydrophilus","acuminatus","Hydrophilusacuminatus",NA,54,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Hydrophilusacuminatus540Wiwatanaratanabutr16",1
"3","Insecta","","Diptera","Culicidae","Aedes","albopictus","Aedesalbopictus",NA,508,508,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Aedesalbopictus508508Wiwatanaratanabutr16",1
"4","Insecta","","Diptera","Culicidae","Aedes","niveus","Aedesniveus",NA,56,9,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Aedesniveus569Wiwatanaratanabutr16",1
"5","Insecta","","Diptera","Culicidae","Aedes","perplexus","Aedesperplexus",NA,22,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Aedesperplexus220Wiwatanaratanabutr16",1
"6","Insecta","","Diptera","Culicidae","Aedes","pseudalbopictus","Aedespseudalbopictus",NA,7,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Aedespseudalbopictus70Wiwatanaratanabutr16",1
"7","Insecta","","Diptera","Culicidae","Anopheles","dirus","Anophelesdirus",NA,2,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Anophelesdirus20Wiwatanaratanabutr16",1
"8","Insecta","","Diptera","Culicidae","Anopheles","maculatus","Anophelesmaculatus",NA,15,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Anophelesmaculatus150Wiwatanaratanabutr16",1
"9","Insecta","","Diptera","Culicidae","Anopheles","sinensis","Anophelessinensis",NA,26,12,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Anophelessinensis2612Wiwatanaratanabutr16",1
"10","Insecta","","Diptera","Culicidae","Anopheles","vagus","Anophelesvagus",NA,8,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Anophelesvagus80Wiwatanaratanabutr16",1
"11","Insecta","","Diptera","Culicidae","Culex","bitaeniorhynchus","Culexbitaeniorhynchus",NA,28,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Culexbitaeniorhynchus280Wiwatanaratanabutr16",1
"12","Insecta","","Diptera","Culicidae","Culex","fuscocephala","Culexfuscocephala",NA,101,75,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Culexfuscocephala10175Wiwatanaratanabutr16",1
"13","Insecta","","Diptera","Culicidae","Culex","gelidus","Culexgelidus",NA,252,220,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Culexgelidus252220Wiwatanaratanabutr16",1
"14","Insecta","","Diptera","Culicidae","Culex","quinquefasciatus","Culexquinquefasciatus",NA,9,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Culexquinquefasciatus90Wiwatanaratanabutr16",1
"15","Insecta","","Diptera","Culicidae","Culex","tritaeniorhynchus","Culextritaeniorhynchus",NA,10,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Culextritaeniorhynchus100Wiwatanaratanabutr16",1
"16","Insecta","","Diptera","Culicidae","Culex","vishnui","Culexvishnui",NA,17,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Culexvishnui170Wiwatanaratanabutr16",1
"17","Insecta","","Diptera","Culicidae","Mimomyia","chamberlaini","Mimomyiachamberlaini",NA,16,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Mimomyiachamberlaini160Wiwatanaratanabutr16",1
"18","Insecta","","Diptera","Culicidae","Mimomyia","hybrida","Mimomyiahybrida",NA,116,77,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Mimomyiahybrida11677Wiwatanaratanabutr16",1
"19","Insecta","","Diptera","Culicidae","Mimomyia","luzonensis","Mimomyialuzonensis",NA,31,0,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Mimomyialuzonensis310Wiwatanaratanabutr16",1
"20","Insecta","","Diptera","Culicidae","Tripteroides","aranoides","Tripteroidesaranoides",NA,21,19,1,"Wolbachia","Wiwatanaratanabutr16","aquatic","Tripteroidesaranoides2119Wiwatanaratanabutr16",1
