"","X","spp","Total","Infected"
"1",1,"Acanthochalcisnigricans",1,0
"2",2,"Acanthocnemaglaucescens",1,0
"3",3,"Acanthocorissordidus",1,1
"4",4,"Acanthoscelidesobtectus",1,0
"5",5,"Acathosomadenticaudum",1,0
"6",6,"Acathosomahaemorrhoidale",1,0
"7",7,"Acathosomalabiduroides",2,0
"8",8,"Acerocnemamacrocera",1,0
"9",9,"Achaearaneasp.",1,0
"10",10,"Achalcuscinereus",1,1
"11",11,"Achalcusflavicollis",1,0
"12",12,"Achalcusphragmitidis",1,1
"13",13,"Achalcusvaillanti",1,0
"14",14,"Achrysocharoidesacerianus",1,0
"15",15,"Achrysocharoidesatys",5,0
"16",16,"Achrysocharoideslatereilli",3,1
"17",17,"Achrysocharoidesniveipes",1,1
"18",18,"Achrysocharoidessplendens",3,0
"19",19,"Achrysocharoideszwoelferi",1,0
"20",20,"Aciagrionoccidentale",2,0
"21",21,"Acisomapanorpoides",2,0
"22",22,"Acomaglabrata",1,0
"23",23,"Acraeaacerata",71,71
"24",24,"Acraeaaganice",60,0
"25",25,"Acraeaalcinoe",26,26
"26",26,"Acraeaalthoffi",23,23
"27",27,"Acraeabonasai",23,0
"28",28,"Acraeaconsanguinea",39,0
"29",29,"Acraeaegina",29,0
"30",30,"Acraeaencedana",67,48
"31",31,"Acraeaencedon",402,183
"32",32,"Acraeaepaea",12,0
"33",33,"Acraeaeponina",39,5
"34",34,"Acraeajodutta",28,0
"35",35,"Acraealycoa",30,0
"36",36,"Acraeamacaria",24,0
"37",37,"Acraeamacarista",29,3
"38",38,"Acraeaneobule",18,0
"39",39,"Acraeaorestia",12,0
"40",40,"Acraeaorineta",24,0
"41",41,"Acraeapeneleos",60,2
"42",42,"Acraeaperenna",30,0
"43",43,"Acraeapharsallus",27,26
"44",44,"Acraeapoggei",11,0
"45",45,"Acraeapseudoegina",35,0
"46",46,"Acraeaservona",44,0
"47",47,"Acraeaviolae",2,0
"48",48,"Acraeavivianna",24,0
"49",49,"Acraeazetes",20,0
"50",50,"Acridawillemsei",5,0
"51",51,"Acromissparsa",1,1
"52",52,"Acromyrmexechinatior",383,158
"53",53,"Acromyrmexinsinuator",25,24
"54",54,"Acromyrmexoctospinosus",1198,549
"55",55,"Acropsilusniger",1,0
"56",56,"Actizeralucida",1,0
"57",57,"Acyrthosiphonlactucae",2,0
"58",58,"Acyrthosiphonmalvae",1,0
"59",59,"Acyrthosiphonmalvae",1,0
"60",60,"Acyrthosiphonpisum",119,0
"61",61,"Acyrthosiphonsp.",1,0
"62",62,"Adachiasp.",1,0
"63",63,"Adaliabipunctata",84,0
"64",64,"Adaliadecempunctata",112,0
"65",65,"Adeloneivaiasp.",1,0
